"","Species","pop","sample.id","coords.x1","coords.x2","cells","NORM_6190_AHM","NORM_6190_bFFP","NORM_6190_CMD","NORM_6190_CMI","NORM_6190_cmiJJA","NORM_6190_DD.0","NORM_6190_DD.5","NORM_6190_eFFP","NORM_6190_EMT","NORM_6190_Eref","NORM_6190_FFP","NORM_6190_MAP","NORM_6190_MAT","NORM_6190_MCMT","NORM_6190_MSP","NORM_6190_MWMT","NORM_6190_NFFD","NORM_6190_PAS","NORM_6190_PPT_sm","NORM_6190_PPT_wt","NORM_6190_SHM","NORM_6190_Tave_sm","NORM_6190_Tave_wt","NORM_6190_TD","NORM_6190_Tmax07","NORM_6190_Tmin01","clim.pc1","clim.pc2"
"120","coastalTOWA","Valdez_AK","maddie_plate2_B53829",-2401356.491,8915447.467,5052741,30,191,0,198,28,2140,320,217,-487,263,26,2129,-37,-161,742,83,82,1533,393,591,112,70,-141,244,133,-210,1815.0668388327,1537.29552253239
"121","coastalTOWA","Valdez_AK","maddie_plate2_B53842",-2401356.491,8915447.467,5052741,30,191,0,198,28,2140,320,217,-487,263,26,2129,-37,-161,742,83,82,1533,393,591,112,70,-141,244,133,-210,1815.0668388327,1537.29552253239
"122","inlandTOWA","Lowell_ID","maddie_plate2_B72399",-1617642.403,6518965.316,14809315,329,128,509,-38,-39,234,2320,272,-269,974,144,599,97,-12,251,210,222,43,127,123,837,198,2,222,316,-53,-1340.81866393829,223.785481760784
"123","inlandTOWA","Ferndale_MT","maddie_plate2_B72405",-1402470.517,6684695.974,14133910,196,146,274,17,-20,525,1489,258,-329,716,112,800,57,-50,311,171,176,233,176,240,550,159,-39,221,259,-88,-537.133898169206,713.198653934086
"124","inlandTOWA","Lowman_ID","maddie_plate2_B72408",-1690957.7,6305031.032,15676152,204,136,464,7,-34,391,2023,279,-307,844,143,871,78,-28,202,202,202,233,99,351,1000,187,-24,230,287,-67,-1016.84893024938,225.015592934283
"125","inlandTOWA","Lowman_ID","maddie_plate2_B72409",-1690957.7,6305031.032,15676152,204,136,464,7,-34,391,2023,279,-307,844,143,871,78,-28,202,202,202,233,99,351,1000,187,-24,230,287,-67,-1016.84893024938,225.015592934283
"126","inlandTOWA","Lowman_ID","maddie_plate2_B72410",-1690957.7,6305031.032,15676152,204,136,464,7,-34,391,2023,279,-307,844,143,871,78,-28,202,202,202,233,99,351,1000,187,-24,230,287,-67,-1016.84893024938,225.015592934283
"127","inlandTOWA","Lolo_MT","maddie_plate2_B72414",-1435389.313,6577791.426,14569367,190,144,286,23,-20,601,1439,264,-340,673,120,804,53,-52,256,171,176,309,137,296,668,157,-45,223,244,-90,-544.300828470654,750.306230907613
"128","inlandTOWA","Lolo_MT","maddie_plate2_B72415",-1435389.313,6577791.426,14569367,190,144,286,23,-20,601,1439,264,-340,673,120,804,53,-52,256,171,176,309,137,296,668,157,-45,223,244,-90,-544.300828470654,750.306230907613
"129","inlandTOWA","Lolo_MT","maddie_plate2_B72417",-1435389.313,6577791.426,14569367,190,144,286,23,-20,601,1439,264,-340,673,120,804,53,-52,256,171,176,309,137,296,668,157,-45,223,244,-90,-544.300828470654,750.306230907613
"130","coastalTOWA","Valdez_AK","maddie_plate2_B84832",-2401356.491,8915447.467,5052741,30,191,0,198,28,2140,320,217,-487,263,26,2129,-37,-161,742,83,82,1533,393,591,112,70,-141,244,133,-210,1815.0668388327,1537.29552253239
